date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:51:20	138/138	---M-Z	200	added ('OK')	text/plain	etag:%2238d-62ef1fc3b3a80-gzip%22	https://bluffpersonnel.com/robots.txt		(from )
07:51:23	142639/142639	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2005:51:21%20GMT	https://bluffpersonnel.com/	D:/Code/bluffpersonnel.com/bluffpersonnel.com/index.html	(from )
07:51:25	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2006%20Jun%202025%2005:51:24%20GMT	https://bluffpersonnel.com/xmlrpc.php	D:/Code/bluffpersonnel.com/bluffpersonnel.com/xmlrpc.php	(from https://bluffpersonnel.com/)
07:51:25	116363/116363	---M-Z	200	added ('OK')	text/css	etag:%221c68b-635bb16075640-gzip%22	https://bluffpersonnel.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-includes/css/dist/block-library/style.min0899.css	(from https://bluffpersonnel.com/)
07:51:25	38599/38599	---M-Z	200	added ('OK')	text/css	etag:%2296c7-62894c81eda80-gzip%22	https://bluffpersonnel.com/wp-content/plugins/wp-job-openings/assets/css/general.min.css?ver=3.5.0	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-content/plugins/wp-job-openings/assets/css/general.min3b71.css	(from https://bluffpersonnel.com/)
07:51:26	18961/18961	---M-Z	200	added ('OK')	text/css	etag:%224a11-62894c81eda80-gzip%22	https://bluffpersonnel.com/wp-content/plugins/wp-job-openings/assets/css/style.min.css?ver=3.5.0	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-content/plugins/wp-job-openings/assets/css/style.min3b71.css	(from https://bluffpersonnel.com/)
07:51:26	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-5bca85cdbf580-gzip%22	https://bluffpersonnel.com/wp-includes/css/dashicons.min.css?ver=6.8.1	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-includes/css/dashicons.min0899.css	(from https://bluffpersonnel.com/)
07:51:26	1058/1058	---M-Z	200	added ('OK')	text/css	etag:%22422-62894bf899680-gzip%22	https://bluffpersonnel.com/wp-content/plugins/post-views-counter/css/frontend.min.css?ver=1.4.8	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-content/plugins/post-views-counter/css/frontend.minb493.css	(from https://bluffpersonnel.com/)
07:51:26	17688/17688	---M-Z	200	added ('OK')	text/css	etag:%224518-62894c4f62340-gzip%22	https://bluffpersonnel.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.4.3	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutceb1.css	(from https://bluffpersonnel.com/)
07:51:27	7427/7427	---M-Z	200	added ('OK')	text/css	etag:%221d03-62894c4f62340-gzip%22	https://bluffpersonnel.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.4.3	D:/Code/bluffpersonnel.com/bluffpersonnel.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenceb1.css	(from https://bluffpersonnel.com/)
